,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,class
221,0.37,0.42,0.27,0.47,5.12,1.43,1.21,3.21,0.33,13.96,0.65,0
222,1.1,1.3,1.3,0.44,5.19,0.77,1.35,7.37,2.91,57.54,4.36,1
223,0.72,0.92,1.07,0.61,3.64,0.73,1.04,7.48,3.12,83.1,4.99,0
224,2.58,1.75,1.9,1.27,7.68,1.79,2.2,8.52,3.35,69.83,6.49,1
225,1.69,1.45,2.07,2.26,14.57,3,3.2,10.2,1.75,64.09,4.22,1
226,0.75,1.02,0.68,0.9,3.83,0.99,1.37,4.38,0.55,36.13,0.66,0
227,0.94,1,0.75,0.47,5.96,1.32,2.92,2.05,0.65,40.06,1.12,0
228,0.97,0.98,0.48,1.1,7.81,1.51,1.83,15.74,2.76,66.06,2.4,1
229,0.74,0.65,0.6,0.77,6.75,1.21,1.34,3.18,1.06,29.8,1.59,1
230,0.99,0.96,0.29,0.48,4.19,0.65,2.52,1.4,0.82,49.38,0.98,0
231,1.58,1.19,1,1.06,9.61,2.12,2.62,14.41,2.7,72.07,3.36,1
232,1.65,1.81,1.39,1.51,11.17,2.3,2.23,10.42,2.46,60.75,2.61,0
233,1,0.93,0.78,0.62,6.22,1.19,1.48,8.31,2.54,102.83,3.3,0
234,1.04,0.92,0.78,0.68,6.22,1.24,1.79,8.31,2.54,60.24,3.12,1
235,1.34,0.96,1.34,0.61,6.23,0.64,1.4,7.79,3.01,82.52,4.99,0
236,1.99,1.64,1.14,0.97,6.23,1.57,2.25,10.59,1.97,67.52,5.19,0
237,0.45,0.35,0.56,0.22,5.36,1.38,2.01,1.5,0.35,23.33,0.8,1
238,0.56,0.58,0.63,0.55,6.34,0.93,1.35,4.97,0.63,19.02,0.63,1
239,2.73,1.36,1.58,0.94,5.19,0.56,1.89,6.96,2.78,67.52,3.64,1
240,1.49,0.94,1.71,0.58,5.71,0.57,2.21,7.48,2.88,83.1,3.12,1
241,1.56,3.12,1.04,0.9,10.91,2.08,3.12,10.39,1.45,41.55,3.12,0
242,1.14,1.04,1.42,0.33,4.41,1.48,2.23,5.71,1.56,31.16,4.75,0
243,0.95,0.83,0.97,0.33,4.35,0.77,1.15,5.03,1.02,20.46,1.53,1
244,3.31,2.78,1.64,1.62,8,2.19,2.07,7.55,1,17.5,3,0
245,1.03,2.6,1.04,0.21,5.19,1.04,1.25,5.19,1.53,41.55,2.7,0
246,0.28,0.28,0.28,0.49,5.62,1.69,2.25,1.97,0.56,42.14,0.84,0
247,2.08,2.08,1.42,0.68,7.79,1.04,0.73,6.23,1.56,30.12,10.39,0
248,0.24,0.37,0.47,0.31,6.43,2.14,3.39,3.67,0.37,3.67,0.39,0
249,1.44,1.6,0.45,0.61,7.23,2.08,3.12,4.61,0.54,32.56,4.52,0
250,0.36,0.23,0.83,0.29,6.44,1.95,2.28,1.45,0.19,13.41,0.39,1
251,1.33,1.39,1.12,0.39,3.12,1.22,1.36,5.19,1.87,46.74,3.12,0
252,1,0.92,0.78,0.99,6.22,1.36,2.08,8.31,3.12,116.33,8.57,1
253,0.93,2.08,1.14,0.26,6.75,1.66,1.42,10.39,1.56,39.21,2.6,0
254,2.06,1.3,1.08,0.61,6.23,1.06,1.33,6.23,2.6,41.55,3.95,1
255,1.96,3.29,2.49,2.33,11.99,2.84,3.31,10,2,68.5,2.5,0
256,0.62,0.68,1.93,0.57,5.54,1.16,1.85,2.68,0.11,7.38,0.72,1
257,3.19,3.2,2,1.5,12.5,3.14,3.65,8,1.5,35,1,0
258,0.62,0.62,0.67,0.61,4.23,0.85,1.53,4.65,0.42,14.79,0.53,1
259,3.2,2.35,1.3,1.67,8,2.29,2.25,9,1.5,37,3,0
260,1.19,1.41,1.56,0.4,5.45,1.47,1.85,5.71,1.35,35.84,5.19,1
261,1.12,1.12,0.7,0.99,9.61,2.59,2.97,15.62,3.78,79.62,5.53,1
262,0.45,0.35,0.48,0.27,4.14,1.07,1.54,1.53,0.24,10.46,0.64,0
263,1,2.2,1,0.5,17.5,1.71,2.25,9.75,1,60,2.85,0
264,1.12,0.2,0.97,0.32,5.19,0.64,0.88,7.48,3.12,98.68,2.86,0
265,1.72,2.55,1.45,3.77,12.12,3.05,2.06,6,0.95,28.38,5.75,0
266,0.41,0.22,0.14,0.2,3.36,0.81,1.22,1.73,0.08,7.33,0.41,0
267,2.28,1.31,1.38,0.34,5.71,0.55,1.35,7.27,2.6,53.49,3.64,1
268,2.08,1.78,2,1.18,10.06,4.41,3.78,26.82,2.15,134.12,2.41,1
269,5.07,2.83,1.72,1.4,8,2.57,3,6.1,0.5,20,4,0
270,1.12,1.06,1.49,0.57,8,0.88,2,1.4,1.25,75,0.75,0
271,2.6,3.4,1.57,2.37,17.5,3.93,2.83,10,3,175,4,1
272,1.06,0.94,0.91,0.87,6.02,1.49,2.3,4.67,1.25,15.58,3.64,0
273,1.64,1.26,0.97,0.52,3.38,1.16,1.53,5.19,0.75,35.28,3.12,0
274,2.25,1.14,2.08,0.79,5.19,0.55,2.01,7.27,2.8,62.48,3.64,1
275,0.74,0.79,0.7,0.28,2.56,0.8,1.07,4.55,0.89,19.69,1.15,1
276,0.93,1.25,0.86,0.33,2.6,1.17,2.42,6.23,1.04,23.37,5.19,0
277,2.18,2.95,1.54,1.83,11.99,1.66,3.04,10.5,2.5,72,6.47,0
278,2.5,2.1,1.55,1.4,15,3.09,2.27,9.25,1.75,100,2.85,0
279,0.55,0.46,0.38,0.39,4.42,0.52,0.9,3.41,0.66,24.78,0.84,1
280,1.28,1.5,1.26,0.38,5.19,1.14,1.52,6.23,1.56,34.8,4.99,1
281,1.25,1.21,1.14,1.11,4.15,1.83,2.08,6.75,1.25,31.16,3.12,0
282,1.99,1.64,1.03,0.97,6.23,2.46,2.25,10.91,1.66,34.59,5.19,0
283,2.63,3.29,1.56,1.07,6.75,1.87,1.56,11.95,1.66,56.09,2.08,0
284,1.41,1.16,0.86,1.5,7.81,2.08,2.28,13.75,3,68.47,3.12,1
285,1,0.95,0.78,0.8,5.71,1.19,1.48,8.31,2.49,103.87,3.3,1
286,1.03,1.04,1.04,0.52,6.23,1.04,2.07,5.71,2.08,41.55,2.7,0
287,1.81,1.27,0.86,0.66,3.9,0.64,1.27,5.19,1.3,37.78,3.51,1
288,1.17,1.33,1,0.88,3.81,1.17,1.64,2.87,1.11,23.42,1.11,0
289,0.24,0.27,0.22,0.24,1.34,1.34,1.34,0.67,0.09,8.91,0.78,0
290,1.2,1.2,0.62,0.73,8.41,1.2,1.2,12.01,3.24,60.06,4.08,0
291,0.5,0.65,0.64,0.56,5.28,0.94,1.41,4.54,0.53,12.68,0.65,1
292,1.62,1.65,1.43,1.17,9.5,4.29,3.75,7.5,6,125,6,0
293,1.25,1.19,0.95,1.54,7.21,2.7,3.83,18.02,3,60.06,3.6,1
294,2.54,3.64,2.32,1.36,16.5,2.14,4.56,9.59,2.9,90,3.8,1
295,1.22,1.52,1.01,0.54,4.41,1.1,2.6,6.23,1.09,22.85,3.53,1
296,2.93,2.15,1.67,1.56,10,3.75,3.69,11.53,2,60,2.75,0
